user	likes	positive	negative	total	classification	positive_comments	negative_comments	total_comments
3330	15	0	0	3	NEUTRAL	1	0	6
3330	26	0	0	8	NEUTRAL	0	0	0
3330	40	0	0	5	NEUTRAL	1	1	10
3330	13	0	1	38	NEGATIVE	0	1	6
3341	21	1	0	20	POSITIVE	2	0	2
3341	14	0	0	6	NEUTRAL	0	0	0
3341	19	1	1	21	NEUTRAL	0	0	1
3343	34	1	0	2	POSITIVE	2	0	6
3343	49	1	0	12	POSITIVE	8	0	10
3363	3	2	0	10	POSITIVE	0	0	0
3363	24	1	0	8	POSITIVE	2	1	6
3363	9	0	0	1	NEUTRAL	0	0	0
3363	7	1	1	9	NEUTRAL	0	0	5
3363	5	0	0	10	NEUTRAL	1	0	3
3363	16	1	0	6	POSITIVE	2	0	3
3363	18	0	0	1	NEUTRAL	5	0	5
3363	12	0	0	2	NEUTRAL	1	0	1
3367	26	0	1	12	NEGATIVE	1	1	3
3404	16	0	0	10	NEUTRAL	0	0	1
3404	23	1	0	5	POSITIVE	1	0	1
3404	84	0	3	9	NEGATIVE	1	3	11
3404	24	1	0	28	POSITIVE	0	0	0
3404	56	1	1	24	NEUTRAL	2	1	12
3404	30	0	1	10	NEGATIVE	0	1	3
3453	60	0	0	4	NEUTRAL	2	2	9
3453	62	0	0	7	NEUTRAL	1	1	8
3453	1	0	0	8	NEUTRAL	0	0	1
3453	44	0	0	1	NEUTRAL	6	0	11
3453	0	0	1	11	NEGATIVE	0	0	0
3453	0	0	1	9	NEGATIVE	0	0	2
3465	59	2	0	23	POSITIVE	2	1	12
3465	181	0	0	30	NEUTRAL	10	0	27
3465	307	3	0	24	POSITIVE	11	2	25
3465	146	1	0	6	POSITIVE	3	1	9
3465	70	0	0	15	NEUTRAL	2	0	2
3465	73	0	0	14	NEUTRAL	2	0	3
3465	89	1	0	17	POSITIVE	0	1	2
3506	6	0	0	7	NEUTRAL	0	0	0
3506	9	0	0	4	NEUTRAL	3	0	6
3506	9	0	0	4	NEUTRAL	3	0	8
3506	12	1	0	14	POSITIVE	0	0	0
3509	78	0	0	7	NEUTRAL	0	0	7
3509	23	0	1	16	NEGATIVE	0	0	0
3509	10	1	0	8	POSITIVE	1	0	3
3572	10	0	0	9	NEUTRAL	0	0	1
3572	2	0	0	12	NEUTRAL	1	0	1
3572	1	1	0	6	POSITIVE	1	0	1
3572	1	0	0	4	NEUTRAL	0	0	0
3572	1	0	0	6	NEUTRAL	0	0	0
3572	1	0	0	2	NEUTRAL	0	0	1
3599	0	0	0	6	NEUTRAL	0	0	0
3599	1	1	1	14	NEUTRAL	2	0	4
3599	0	0	0	4	NEUTRAL	0	0	2
3599	30	0	0	2	NEUTRAL	0	0	0
3599	2	0	0	1	NEUTRAL	2	0	3
3599	0	0	0	3	NEUTRAL	0	0	0
3607	64	1	0	9	POSITIVE	4	1	9
3618	273	2	1	37	POSITIVE	9	0	27
3618	22	0	0	13	NEUTRAL	1	0	4
3627	19	0	0	3	NEUTRAL	1	0	2
3627	9	0	0	2	NEUTRAL	2	0	2
3627	30	0	0	1	NEUTRAL	0	0	1
